,tconst,primary_title,genres,numvotes,averagerating,start_year,runtime_minutes,Comedy,Action,Documentary,Sport,Musical,Animation,Romance,News,Game-Show,Fantasy,Horror,History,Biography,Drama,Music,Sci-Fi,Thriller,Adventure,Family,Crime,Western,Mystery,War
55313,tt5618752,A Gentle Creature,"['Drama', 'Mystery']",1584,6.6,2017,143.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
55318,tt5619332,Life of the Party,['Comedy'],25756,5.5,2018,105.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55327,tt5622412,Black Water,"['Action', 'Drama', 'Thriller']",3035,4.7,2018,104.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
55359,tt5628302,Beast,"['Crime', 'Drama', 'Mystery']",7174,6.8,2017,107.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
55362,tt5628418,The Ash Lad: In the Hall of the Mountain King,['Adventure'],1659,6.1,2017,104.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
55370,tt5629340,Just to Be Sure,"['Comedy', 'Drama']",1233,6.7,2017,100.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55371,tt5629524,Beyond the Edge,"['Action', 'Adventure', 'Fantasy']",2074,4.5,2018,101.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
55372,tt5629964,The Midnight Man,['Horror'],2441,4.8,2016,95.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55378,tt5631456,Just Like Our Parents,['Drama'],1350,7.3,2017,102.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55388,tt5633706,Close-Knit,['Drama'],1029,6.5,2017,127.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55398,tt5634960,A Very Sordid Wedding,['Comedy'],1227,5.4,2017,109.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55403,tt5635086,God's Own Country,"['Drama', 'Romance']",17934,7.7,2017,104.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55424,tt5637542,"Ron Goossens, Low Budget Stuntman",['Comedy'],1468,6.1,2017,83.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55433,tt5638270,Eedo Rakam Aado Rakam,"['Comedy', 'Romance']",1046,7.9,2016,129.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55436,tt5638500,1920 London,"['Horror', 'Mystery']",1323,4.1,2016,120.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
55437,tt5638642,The Ritual,"['Horror', 'Mystery', 'Thriller']",55234,6.3,2017,94.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
55440,tt5639354,A Fantastic Woman,['Drama'],18282,7.2,2017,104.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55442,tt5639388,Raaz Reboot,"['Horror', 'Mystery', 'Romance']",1494,4.6,2016,128.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
55444,tt5639446,Jonathan,"['Drama', 'Sci-Fi']",3904,5.9,2018,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
55460,tt5640450,ARQ,"['Sci-Fi', 'Thriller']",28807,6.4,2016,88.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
55475,tt5641832,Kojot,"['Action', 'Drama']",1366,7.5,2017,126.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55480,tt5642124,Lover for a Day,['Drama'],1516,6.8,2017,76.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55489,tt5642720,Kasaba,"['Action', 'Crime', 'Thriller']",1026,4.8,2016,137.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
55497,tt5643380,Taekwondo,"['Comedy', 'Drama']",1461,6.4,2016,112.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55523,tt5644740,The King,"['Action', 'Crime', 'Drama']",1293,6.7,2017,134.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
55539,tt5646136,Hillary's America: The Secret History of the Democratic Party,"['Biography', 'Documentary', 'History']",6231,5.4,2016,106.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
55553,tt5648036,S.M.A.R.T. Chase,"['Action', 'Adventure', 'Crime']",2796,5.2,2017,95.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
55561,tt5649108,Thoroughbreds,"['Comedy', 'Crime', 'Drama']",25098,6.7,2017,92.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
55562,tt5649144,The Florida Project,['Drama'],72193,7.6,2017,111.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55596,tt5653294,Flight Crew,"['Action', 'Adventure', 'Drama']",4015,6.8,2016,138.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
55597,tt5653514,Bad Day for the Cut,"['Crime', 'Drama', 'Thriller']",3783,6.5,2017,99.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
55612,tt5655222,The Hero,"['Drama', 'Romance']",6796,6.5,2017,96.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55625,tt5657028,Alibi.com,['Comedy'],5808,6.5,2017,90.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55635,tt5657846,Daddy's Home Two,['Comedy'],48478,6.0,2017,100.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55636,tt5657856,Brawl in Cell Block 99,"['Action', 'Crime', 'Drama']",45507,7.1,2017,132.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
55646,tt5658296,Sperm Whale: Roya's Selection,"['Comedy', 'Drama', 'Music']",1113,5.1,2017,86.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
55684,tt5662932,Raman Raghav 2.0,"['Crime', 'Drama', 'Thriller']",10563,7.3,2016,133.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
