tconst,genres,numvotes,averagerating,start_year,runtime_minutes,Adult,Sport,Sci-Fi,Fantasy,News,Western,Thriller,Family,Game-Show,Mystery,Music,Reality-TV,Animation,Drama,Adventure,Romance,History,Horror,War,Short,Biography,Documentary,Crime,Musical,Comedy,Action,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,month,roi
tt2096672,"['Adventure', 'Comedy']",118646,5.6,2014,109.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2014-11-14,dumb and dumber to,40000000.0,"$86,208,010",156553592.0,2014,11,291.38398
tt2097298,"['Biography', 'Drama', 'Sport']",31735,7.4,2015,129.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2015-02-20,"mcfarland, usa",17000000.0,"$44,480,275",45707924.0,2015,2,168.87014117647058
tt2097333,"['Animation', 'Comedy', 'Family']",312,3.9,2015,83.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2016-11-01,a.c.o.r.n.s.: operation crackdown,8500000.0,$0,1353287.0,2016,11,-84.07897647058824
tt2099556,"['Horror', 'Sci-Fi', 'Thriller']",11025,5.7,2012,108.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2013-04-12,antiviral,3100000.0,$0,123407.0,2013,4,-96.01912903225806
tt2100573,['Horror'],349,5.3,2013,112.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2019-04-23,living dark: the story of ted the caver,1750000.0,$0,0.0,2019,4,-100.0
tt2101341,"['Action', 'Crime', 'Drama']",61238,6.5,2013,118.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,2013-03-08,dead man down,30000000.0,"$10,895,295",19599974.0,2013,3,-34.66675333333333
tt2101441,"['Comedy', 'Crime', 'Drama']",126504,5.3,2012,94.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,2013-03-15,spring breakers,5000000.0,"$14,124,286",31149251.0,2013,3,522.98502
tt2103254,"['Comedy', 'Romance']",44345,4.9,2014,97.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2014-07-02,tammy,20000000.0,"$84,525,432",96407655.0,2014,7,382.038275
tt2103281,"['Action', 'Adventure', 'Drama']",390199,7.6,2014,130.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,2014-07-11,dawn of the planet of the apes,170000000.0,"$208,545,589",710644566.0,2014,7,318.02621529411766
tt2106361,"['Action', 'Adventure', 'Drama']",60894,5.8,2014,89.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,2014-08-08,into the storm,50000000.0,"$47,602,194",150429371.0,2014,8,200.858742
